Time,time,deltaX,deltaY,range,surfaceQuality
1638389497.5380816,1638389497552553263,28,-4,8190,138
1638389497.6512282,1638389497665728437,20,-3,8191,143
1638389497.7382169,1638389497752634885,23,-4,8190,145
1638389497.838216,1638389497852611291,17,-6,8190,144
1638389497.951393,1638389497965478949,29,-2,8191,135
1638389498.0522969,1638389498066713441,7,-14,8191,127
1638389498.1525931,1638389498166615569,14,-6,8191,114
1638389498.2386303,1638389498252033394,23,-1,8190,119
1638389498.3373635,1638389498351343825,21,-5,8190,117
1638389498.45375,1638389498467248045,17,-16,8191,110
1638389498.5890694,1638389498565473315,21,-9,8191,106
1638389498.651125,1638389498665592069,14,-15,8191,93
1638389498.7505805,1638389498764984327,25,-5,8191,93
1638389498.837807,1638389498852162089,25,-23,8190,88
1638389498.9385571,1638389498952111668,28,-12,8190,107
1638389499.0380516,1638389499052164167,24,-6,8190,122
1638389499.137976,1638389499152235937,13,-1,8190,114
1638389499.2377648,1638389499252146188,4,-2,8190,114
1638389499.33811,1638389499351768298,-2,0,8190,113
1638389499.4369578,1638389499451316030,0,0,8190,113
1638389499.552521,1638389499566961118,0,0,8191,116
1638389499.6380343,1638389499651419984,0,1,8190,112
1638389499.7366226,1638389499750892035,-1,0,8190,114
1638389499.8392541,1638389499853453154,17,-9,8190,103
1638389499.951166,1638389499964696500,14,-5,8191,105
1638389500.0381856,1638389500052486633,3,-2,8190,103
1638389500.1515303,1638389500164711643,-1,-1,8191,99
1638389500.2382152,1638389500252111910,-1,0,8190,103
1638389500.3378453,1638389500351866264,0,0,8190,103
1638389500.4381752,1638389500452587388,0,0,8190,101
1638389500.5372598,1638389500551667592,0,0,8190,102
1638389500.6380594,1638389500652124066,0,0,8190,104
1638389500.750416,1638389500764861602,0,0,8191,102
1638389500.837672,1638389500851591470,2,0,8190,101
1638389500.9376726,1638389500952045601,10,0,8190,110
1638389501.0512145,1638389501064321288,15,-2,8191,113
1638389501.137087,1638389501151576857,14,0,8190,121
1638389501.238782,1638389501253204588,19,-3,8190,123
1638389501.3504963,1638389501365053428,17,2,8191,123
1638389501.451065,1638389501465427082,16,-4,8191,125
1638389501.5383625,1638389501552796200,25,1,8190,109
1638389501.6510298,1638389501665342941,22,-6,8191,103
1638389501.7510266,1638389501765343711,27,-7,8191,102
1638389501.8386111,1638389501852726787,27,-4,8190,88
1638389501.9508035,1638389501965414057,14,0,8191,88
1638389502.0511765,1638389502065775104,4,-1,8191,94
1638389502.1519043,1638389502166258136,0,-2,8191,86
1638389502.2536387,1638389502268111708,0,-3,8191,87
1638389502.338878,1638389502353171744,0,0,8190,87
1638389502.4523373,1638389502466687543,-1,6,8191,88
1638389502.5511436,1638389502564843525,1,-1,8191,94
1638389502.6514547,1638389502665779237,21,-2,8191,102
1638389502.7380311,1638389502752364196,15,2,8190,120
1638389502.83856,1638389502853126566,30,-6,8190,125
1638389502.952896,1638389502967429020,29,0,8191,119
1638389503.0660257,1638389503067657506,35,-6,8191,122
1638389503.1397953,1638389503153830826,39,-12,8190,122
1638389503.2386744,1638389503253237027,26,-2,8190,125
1638389503.3388798,1638389503353295607,18,-2,8190,111
1638389503.4391217,1638389503453388251,14,-1,8190,111
1638389503.538334,1638389503552787264,0,-2,8190,108
1638389503.6393666,1638389503653684065,0,0,8190,109
1638389503.7391891,1638389503753462577,0,0,8190,105
1638389503.8395975,1638389503854012224,0,0,8190,108
1638389503.9398372,1638389503954214561,0,0,8190,112
1638389504.0530267,1638389504067458726,0,0,8191,110
1638389504.1536732,1638389504167985712,0,0,8191,100
1638389504.2609735,1638389504266202942,1,-2,8191,105
1638389504.3519213,1638389504366359961,2,-1,8191,105
1638389504.4517787,1638389504466231705,15,-4,8191,93
1638389504.5536067,1638389504568015841,0,-1,8191,89
